index,TEXT,LANG
24621,chaychumi ulucunata wancacunata apalcachaypa: “¡nitilcul pacaycalimay tacunanchu tacu diospita chaynutac uwishcapa pinacuyninpita cananmari jatun muchuycachinan muyunca chamun mayanlla awantaycunmancha” nil nipacula,Urubu-Kaapor
10987,inyo wade rirokeki wahalubu riokeki wawana tiuhyy ratxireri jiary tule tii‑wana watxihyyreri,Karajá
19570,paulo entrou na sinagoga e ali falou com liberdade durante tres meses argumentando convincentemente acerca do reino de deus,Portuguese
13800,tikmu'un te hapxop kummuk ha yay kummugaha 'uyanan tu' nuy pago hu ta xakix pa topa te hammaxnaha' 'uhok ha hammaxnaha' nuy tikmu'un hinna xe'egnag yeyox kunnix xok ha' hinnaha' no'om yumug xuxya xe'e' ha yumug kuxap-xet kunnix kuxa mutik,Maxakalí
21877,miꞌi hawyi pauru toto raꞌyn iꞌatu­py­ꞌa­setpyi maꞌato wetup ok wetup ok tuwe­muꞌe raꞌyn pauru wywo miꞌi hawyi wetup ok mehi tiunisiu tawa areopaku piat timohey raꞌyn iesui iꞌewyte wetup ok mana tamari timohey raꞌyn iesui iraniaꞌin nywo miꞌi ta hap etiat atiwan mesuwe uito iruka,Sateré-Mawé
5706,haꞌe ramo pedro oenoi haꞌe aeꞌia py haꞌe vy ndojou poraia rami ijayvu vy aipoeꞌi ixupe: — senhor enhemboaxy na haꞌe nunga ndere oiko eꞌy agua,Guarani
1414,hamri ne hwyr poj ne hpanha kurum akupym axiok wyr wa mo par rax kam ma akupym mo axiokja kama na pre wa nojaret nhum jejus kot wa hto ne wa htoxjaja wa ho tirtum wy ne ma kri hkwy hwyr wa kume wa kot ma me hkot tanhma jejus kot me pane amnhi nhipex to ha harenh o wa pa kaxyw wa kume jakama nhum wa ra ja ho anhyr pa ne akupym me hwyr wa mo,Apinayé
3670,saguhobyry modo nheinwankyly mykainane taentuneim modo lela tainzeim tainzenry tanyzeim tanyzenry todokoguely waga deusram adydo imeom egamely waga wara mykainane aguelymo mara tazezewenry kyangahu oday kunago waga ize kydato waga kuodano deus waga aguykeho waga wara aguepa mykainane saguho tazezewenry einwandyly myakawam iwelo einwandyly adaguly ara kula,Bakairi
1553,hamri nhum jejus kam: —pa mo na tanhma kot pa ato ane hamri nhum kam: —na akupym inhma ixrit mex pram pahihti,Apinayé
7326,—‍xaho tuhe ti ji rupi ei ga jesus'ga pe nde hoe'ymame po ti jira'yra'ga manoi a'ero nehe ei ga,Kagwahiva
24481,nipacuptinmi nawincunacta yataycul: “chalapacushayquimannuy lulacasha cachun” nila niycullaptinmi nawincuna lluy quichacaculun jesusnatacmi chuncay-chuncayta: “amam pictapis willapacunquichu cay licachishacpi” nila niyaptinpis yalulul-pachallam jinantin malcacunachu jesus nawinta licachishanpi lluy willapaculcala,Urubu-Kaapor
4160,amo tupan heko haw pe har oho haikweromo no uzeꞌeg pa no — mawiron tawhu upaw aꞌe kury iꞌi oho iko — aꞌe pe har aꞌe wa tuweharupi uzapo kar ikatu ꞌym maꞌe amo teko wanupe aꞌe wa amo ae taw pe har wanupe aꞌe wa iꞌi oho iko,Guajajara
16059,o²­la³­kxah³­lxin¹­ju³­ta²­ i²­nxti³­te²­sa¹­wi¹­ khauhxnyhah¹­lxin¹­ju³­ta²­ i²­nxti³­te²­sa¹­wi¹­ yen³­kxi³­txa²­yah³­lxin¹­kxe³­su²­ i²­nxti³­te²­sa¹­wi¹­ yxan¹­ta¹­ wxa²­e¹­nau³­ai²­na¹­ txa²­wa¹­su³­na²­ hi²­sen³­su²­ wi¹­lu³­yho³­hi¹­nxti³­ju³­ta²­ yu²­na³­li¹­ ja¹­nxe³­sxa³­ ko³­nxe³­te²­lo³­nxtain¹­ju³­ta²­ i²­nxti³­te²­sa¹­wi¹­ nxe²­e³­kxi¹­nxtain¹­tu³­ka³­txa²­ hai³­txi³­ ju³­te²­a²­ nu³­ka³­txi³­khai³­su²­ nxa³­wi¹­ ki³­ha¹­kxi³­ne³­lhxa³­ ju³­te²­a²­ nu³­ka³­txi³­su²­ ki³­lxo³­nyhain¹­na³­li¹­ yxan¹­ta¹­ ai¹­nxa³­wi¹­ sa³­ta³­na²­jah¹­la²­ sa³­wi³­ha³­lxi³­khai³­sain¹­na³­li¹­,Nambikuára
13111,yeyox te tik te  xanaha' 'amniy 'um 'iha yeyox te hapkumep tu konag xexka ganinet yog hapkux tu' hapkumep 'iha tik taknoy  penaha' ha mam xuk tu' xuxet'ax ximam ya' xuxet'ax noy te: pet xi' taknoy 'axet'ax 'anene' tu mo tut panip yon tu mam xuk pax,Maxakalí
19999,perguntou pilatos: que farei entao com jesus chamado cristo  todos responderam: crucifica-o,Portuguese
6358,niɡida gela anejigotaɡawatiwaji me idinilakidetaɡagi aliciagi niɡijo oxiiɡodi anejigota me idinilakidetege jotigide ɡadaamipi niɡijo noko naɡa jibatigi libaaɡatedi me jadeegiticogi wetice niiɡo egito pida aɡowo niɡijo ane igegi me idinilakidetege joaniɡidaa leeɡodi naɡa jikaticoace’ eledi mee ǥoniotagodi aneotedoɡoji,Kadiwéu
15080,ta da hadoo pꞌop haga do pahuunh ajꞌyy ajyy sa hyb nꞌaa pꞌop haga do kawehee dak ti hyb nꞌaa ajyy dooh ranu kajesu ba jesus hyb nꞌaa rakahetꞌaa ba yyj sa ha ka sa hyb nꞌaa ajyy rakawehee padeek tii dꞌ tahadoo do hyb nꞌaa tawꞌaats he ranu kajesuu jesus hyb nꞌaa ji kahetꞌaa ba yynh hanaa nado ajꞌyy ajꞌyy tahana ti yynh yynh hyb nꞌaa nado ajꞌyy kapahuuj kan yynh kapahuuj wat ajꞌyy hyb nꞌaa,Nadëb
14008,kuy bima on tak wetaybit gu juk adi oguy wuyaweweap ekawen tuybe xipat cica on deus xe ian cuk adi oce iboap ekawen wetaybin puje bit ikereat kug on deus xe iam tak wetaybit oce deus ibikuy osunuy soat ipi watwat pe top am ip soat em jexe itait imenpuye jekawen o'guwen wuyawe am imenpit ikereat kug on iam wetaybin puje: — iba'ore owebe deus xe onuy am ikereat kug puye — i juk oce owebe ma — wuy ma oguy deus wi soat em ikereat kug puye — i juk oce owebe ma,Mundurukú
7047,nura nhande ikwahavi javo: ahe jikoge'yma gwaramo ga rehe tupana'ga nonogatui ahepy'a ahe rerure'yma ojipyri xa'e nhande,Kagwahiva
13563,tu ham'aktux ha yeyox kuxa xuygaha' 'amniy tox ha' xuygaha',Maxakalí
16918,nxe³­ain¹­ka³­tu³­ta¹­ txu¹­ti³­nau³­xa²­ ka³­lxa¹­txi³­ a³­si³­te³­kxi²­nyhain¹­nun³­ta¹­hxai²­he¹­la²­ nxe³­tu³­ka³­txa²­ ka³­nxa²­ je³­su²­jah³­la²­ hxi²­ki³­kxai³­lu²­ we²­txi²­nyhain¹­ta¹­hxai²­he¹­la²­ i³­ta³­ka³­khai³­xa²­ we²­txi²­ a²­nu²­a²­ ko³­nxe³­te²­a²­ yau³­ka³­txa²­ nxu²­kwai³­yxautte²­a²­ nxu²­kwai³­li³­si¹­hain¹­jau³­su²­ kwa³­na³­i²­ nxe³­ain¹­ta¹­hxai²­he¹­la²­ nxe³­tu³­ka³­txa²­sa¹­: ma³­ri²­a²­ ma³­ta³­le²­na³­ka³­lxu³­su²­ ta¹­hxai²­he¹­la²­ a²­nxe³­ta¹­ka³­lxa²­ ko³­nxe³­te²­a²­ yau³­ka³­txa²­ hi²­sen³­su²­ a³­nxu²­kwai³­yxautta¹­hxai²­he¹­la²­ yau³­ka³­txa²­ ha¹­li¹­ ha¹­li¹­ ha¹­li¹­ ka³­na³­ki¹­ a³­nxu²­kwai³­wih¹­ain¹­ta¹­hxai²­he¹­la²­ nxe³­ta¹­ka³­lxai²­na²­ je³­su²­jah³­lo²­kxai³­lu²­ nxu²­kwai³­li³­xi²­si¹­hain¹­jau³­su²­ kwa³­na³­ta¹­hxai²­he¹­la²­ ai¹­nha²­kxai³­ jo³­a²­na³­ka³­lxai²­na²­su²­ in³­txa²­ so¹­ha²­kxai³­ ku²­sah³­lo²­su¹­ ta¹­hxai²­he¹­la²­ a²­nxe³­jah¹­la²­ e³­ro²­jah³­la²­ a²­sa³­wi³­sa³­la³­ta¹­hxai²­he¹­la²­ ai¹­nha²­kxai³­ su³­sa²­na³­ka³­lxa²­ a³­si³­te³­kxi²­ txu¹­ti³­nau³­xa²­ ka³­lxa¹­txi³­ je³­su²­jah³­la²­ hi²­sen³­kxai³­lu²­ we²­txi²­nu¹­hain¹­ju³­tan¹­te²­kxa³­ya³­lhu²­ a³­si³­te³­kxi²­nyhain¹­ta¹­hxai²­he¹­la²­ nxe³­ain¹­jutsu²­ je³­su²­jah³­la²­ nu³­ka³­txa²­ yen³­kxi³­la³­ yu²­nxa³­ha²­kxai³­ wa²­nhu¹­nyhain¹­ta¹­hxai²­he¹­la²­,Nambikuára
25215,dama ipire nori ha te za aiwi te te 're rosawi za'ra wa'wa rowahutuzeb u dame 're asisisi aba mono to da dure 're ihaimana u'asi mono te te tama pisutu za'ra newa te za ai'uprosi aba ni,Xavánte
4783,awa imenew her maꞌe aꞌe amo awa arexan her maꞌe aꞌe no nezewegatete wanekon aꞌe wa no umuaiw uzeruzar haw kwez wa aꞌe rupi amono zurupari pe ihe wa kury zurupari uzapo putar wemiapo putar haw wanupe aꞌe nehe aꞌe rupi upytuꞌu putar zezuz rehe uzeꞌeg zemueteahy re aꞌe wa nehe,Guajajara
12546,miriri yeꞌnen fariseuyamiꞌ enkaruꞌnankon eꞌmaiꞌ pe apisaukon ronati ita mori pe aweꞌtoꞌpe mori pe ita wani ya poroporo niri mori pe eeseraꞌma,Macushi
25035,taha wa tisire cadeza nori nhipti'ai hawi ma to watobro hara na 'ri nho'omo nhisi ama te oto 're samra abra'a ha tame imama ha ma to tiwi dara tiwi da'a parip si ma to 're ihaimana u'asi mono ha sapro iropteb u abra'a ha taha wa te oto a nori wa'wa ha iwa 're aihaimana za'ra wa'aba mo isipti'ai ama,Xavánte
4960,tuwe zanezar ukwaw katu kar weraꞌu tupan pepuhareko haw peme aꞌe nehe taꞌe umur ukagaw peme aꞌe xe,Guajajara
190,naeroro morara jehtopopyry poko epyrypako ase orepyra jehtopopyry poko epyrypara ase jamihme pyra jehtoh eneko imehno mana moro poko roke epyrypako ase,Apalaí
2544,teoso oerekari atao iua anaakori aniniua ininia kaiaopokori teoso sakire auiakani itixine apokakani atamataua ate uatxa ininia matakanapari ikinika ate iomakotetakari matakanapari maerekati akamakiti kotxi ikara patimari iaxirikiniri axinire ataparaxinireritika maauako mamiteenekari ikinipoko mitekakani mitekini atoko mamitekako teoso oerekinimoni atipirika maatamatari xesosi maauikari iua sakire kotxi iuanoka amaerekani makatxakakari iua txikitakaua ate atao aauikiniri teoso sakire xesosi xinikari poxokonitxi apokini oti ininia iuasaaki imiteenekari aamina ipiriamitakari nopini ipinini imaakatari petatxi ikara atoko ipinini ikinipoko iposo atoko iitopaka iri kikomoni kotxi iparika ate ikapani iposope,Apurinã
1881,jejus kot marir mataren wyr kator no nhum marir matarenja ari ken kre kapem hkapri ne myr o xa ne myr pe hikot ne ken kre kamu ne kama tirtum kaper o wryk xwynh wa ho axkrut ne wa omu nhum wa e jakajre kama wa nhy nhum hoja hkram nhy nhum hoja htem nhy,Apinayé
23534,a'tiro nii' mari da'rara nemoro tutuara wa'asa' tee ayu nii' mari o'akɨhɨ ɨaro weeka toota nemoro ayusa' a'ti ɨmɨkohopɨre be'ro ɨ'mɨsepɨre marire ayuro wa'arosa' a'te diakɨhɨta nii' nii pe'tira a'tere eho peoro ɨa' toho weera mari jesu cristo yeekahasere werera pi'eti ɨpɨtɨ da'ra' o'akɨhɨ marire ayuro weeatehere waku e'kati yuu tohara toho wee' kɨɨ kati nu'kugɨ nii pe'tirare yɨ'rɨogɨ niimi kɨɨre eho peora se'sarore yɨ'rɨogɨsami,Tukano
16127,nxe³­na¹­kxa²­yu³­su²­ txai²­na²­ su³­na²­ hxi²­kan¹­ta²­ si³­yxau³­tau³­la³­sa²­kah³­lo²­na¹­xai²­na²­ sa²­ba³­to³­ nxe³­ti³­xa²­ a²­wa³­kxen³­yah³­lo²­sa¹­wi¹­ je³­su²­jah³­la²­ nxe³­ta¹­hxai²­he¹­la²­,Nambikuára
11306,pekyje awi jejui ꞌga rerowiareꞌema ꞌga nui niporomutari nipo ꞌga pe nee aꞌere kasi pekyje ꞌga nui ne ojewi pekyjeꞌemamu nipo ꞌga ꞌjau ajaupe: “nokyjei ꞌga jane wi janeruwarete ꞌga ree ꞌga jemogypyygi ajemogyau aꞌeramu ꞌga okyjaweꞌem ajemogyau ꞌga nipo janeruwarete ꞌga omono ojepyri jane nipo janeruwarete ꞌga jane mojenosou wowase ae majatykaaw ipe” ꞌjau nipo pe nesakara ꞌga ajaupe janeruwarete ꞌga pe poapoaa opajea ꞌga amut pe nupe pe mogyjaukareꞌema,Kayabí
